Id,LotArea,YearBuilt,TotalBsmtSF,GrLivArea,FullBath,GarageCars,SalePrice
1,8450,2003,856,1710,2,2,208500
2,9600,1976,1262,1262,2,2,181500
3,11250,2001,920,1786,2,2,223500
4,9550,1915,756,1717,1,3,140000
5,14260,2000,1145,2198,2,3,250000
6,14115,1993,796,1362,1,2,143000
7,10084,2004,1686,1694,2,2,307000
8,10382,1973,1107,2090,2,2,200000
9,6120,1931,952,1774,2,2,129900
10,7420,1939,991,1077,1,1,118000
11,11200,1965,1040,1040,1,1,129500
12,11924,2005,1175,2324,3,3,345000
13,12968,1962,912,912,1,1,144000
14,10652,2006,1494,1494,2,3,279500
15,10920,1960,1253,1253,1,1,157000
16,6120,1929,832,854,1,2,132000
17,11241,1970,1004,1004,1,2,149000
18,10791,1967,0,1296,2,2,90000
19,13695,2004,1114,1114,1,2,159000
20,7560,1958,1029,1339,1,1,139000
21,14215,2005,1158,2376,3,3,325300
22,7449,1930,637,1108,1,1,139400
23,9742,2002,1777,1795,2,2,230000
24,4224,1976,1040,1060,1,2,129900
25,8246,1968,1060,1060,1,1,154000
26,14230,2007,1566,1600,2,3,256300
27,7200,1951,900,900,1,2,134800
28,11478,2007,1704,1704,2,3,306000
29,16321,1957,1484,1600,1,1,207500
30,6324,1927,520,520,1,1,68500
31,8500,1920,649,1317,1,1,40000
32,8544,1966,1228,1228,1,1,149350
33,11049,2007,1234,1234,2,2,179900
34,10552,1959,1398,1700,1,2,165500
35,7313,2005,1561,1561,2,2,277500
36,13418,2004,1117,2452,3,3,309000
37,10859,1994,1097,1097,1,2,145000
38,8532,1954,1297,1297,1,2,153000
39,7922,1953,1057,1057,1,1,109000
40,6040,1955,0,1152,2,0,82000
41,8658,1965,1088,1324,2,2,160000
42,16905,1959,1350,1328,1,1,170000
43,9180,1983,840,884,1,2,144000
44,9200,1975,938,938,1,1,130250
45,7945,1959,1150,1150,1,1,141000
46,7658,2005,1752,1752,2,2,319900
47,12822,2003,1434,2149,1,2,239686
48,11096,2006,1656,1656,2,3,249700
49,4456,1920,736,1452,2,0,113000
50,7742,1966,955,955,1,1,127000
51,13869,1997,794,1470,2,2,177000
52,6240,1934,816,1176,1,2,114500
53,8472,1963,816,816,1,2,110000
54,50271,1981,1842,1842,0,3,385000
55,7134,1955,384,1360,1,2,130000
56,10175,1964,1425,1425,2,2,180500
57,2645,1999,970,1739,2,2,172500
58,11645,2004,860,1720,2,2,196500
59,13682,2006,1410,2945,3,3,438780
60,7200,1972,780,780,1,1,124900
61,13072,2004,1158,1158,1,2,158000
62,7200,1920,530,1111,1,1,101000
63,6442,2006,1370,1370,2,2,202500
64,10300,1921,576,1710,2,2,140000
65,9375,1997,1057,2034,2,2,219500
66,9591,2004,1143,2473,2,3,317000
67,19900,1970,1947,2207,2,2,180000
68,10665,2003,1453,1479,2,2,226000
69,4608,1945,747,747,1,1,80000
70,15593,1953,1304,2287,2,2,225000
71,13651,1973,2223,2223,2,2,244000
72,7599,1982,845,845,1,2,129500
73,10141,1998,832,1718,2,2,185000
74,10200,1954,1086,1086,1,2,144900
75,5790,1915,840,1605,2,1,107400
76,1596,1973,462,988,1,1,91000
77,8475,1956,952,952,1,1,135750
78,8635,1948,672,1285,1,1,127000
79,10778,1968,1768,1768,2,0,136500
80,10440,1910,440,1230,1,2,110000
81,13000,1968,896,2142,2,1,193500
82,4500,1998,1237,1337,2,2,153500
83,10206,2007,1563,1563,2,3,245000
84,8892,1960,1065,1065,1,2,126500
85,8530,1995,384,1474,2,2,168500
86,16059,1991,1288,2417,2,2,260000
87,11911,2005,684,1560,2,2,174000
88,3951,2009,612,1224,2,2,164500
89,8470,1915,1013,1526,1,0,85000
90,8070,1994,990,990,1,0,123600
91,7200,1950,0,1040,1,2,109900
92,8500,1961,1235,1235,1,2,98600
93,13360,1921,876,964,1,2,163500
94,7200,1910,1214,2291,2,2,133900
95,9337,1997,824,1786,2,2,204750
